order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source,extraction_date,is_late,days_late,delivery_status
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,postgres db,2025-04-18 21:40:55,True,1.0,Late
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,postgres db,2025-04-18 21:40:55,False,0.0,Early
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,postgres db,2025-04-18 21:40:55,True,1.0,Late
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,postgres db,2025-04-18 21:40:55,False,0.0,Early
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
70,50,3,2016-02-11,2016-02-11,,3,9,postgres db,2025-04-18 21:40:55,False,,Late
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
76,9,3,2016-02-16,2016-02-16,,2,6,postgres db,2025-04-18 21:40:55,False,,Late
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,postgres db,2025-04-18 21:40:55,False,0.0,On Time
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,postgres db,2025-04-18 21:40:55,True,1.0,Late
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,postgres db,2025-04-18 21:40:55,True,1.0,Late
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,postgres db,2025-04-18 21:40:55,True,2.0,Late
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,postgres db,2025-04-18 21:40:55,False,0.0,On Time
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,postgres db,2025-04-18 21:40:55,False,0.0,On Time
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9,postgres db,2025-04-18 21:40:55,True,1.0,Late
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
115,1369,4,2016-03-09,2016-03-11,2016-03-11,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
117,740,4,2016-03-10,2016-03-13,2016-03-11,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
118,577,4,2016-03-12,2016-03-14,2016-03-13,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
119,925,4,2016-03-12,2016-03-14,2016-03-14,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
122,786,4,2016-03-14,2016-03-16,2016-03-15,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
123,766,4,2016-03-15,2016-03-18,2016-03-17,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
124,403,4,2016-03-16,2016-03-18,2016-03-17,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
125,685,4,2016-03-16,2016-03-19,2016-03-17,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
126,1365,4,2016-03-16,2016-03-18,2016-03-18,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
127,484,4,2016-03-17,2016-03-18,2016-03-19,3,8,postgres db,2025-04-18 21:40:55,True,1.0,Late
128,86,4,2016-03-18,2016-03-20,2016-03-21,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
129,84,4,2016-03-19,2016-03-21,2016-03-21,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
130,1049,4,2016-03-19,2016-03-22,2016-03-20,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
131,316,4,2016-03-19,2016-03-22,2016-03-20,3,8,postgres db,2025-04-18 21:40:55,False,0.0,Early
132,46,4,2016-03-20,2016-03-22,2016-03-23,1,3,postgres db,2025-04-18 21:40:55,True,1.0,Late
133,409,4,2016-03-20,2016-03-22,2016-03-21,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
134,679,4,2016-03-20,2016-03-21,2016-03-21,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
135,1354,4,2016-03-21,2016-03-23,2016-03-23,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
136,1192,4,2016-03-21,2016-03-24,2016-03-23,3,8,postgres db,2025-04-18 21:40:55,False,0.0,Early
137,370,4,2016-03-23,2016-03-26,2016-03-25,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
138,438,4,2016-03-23,2016-03-24,2016-03-25,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
139,710,4,2016-03-23,2016-03-24,2016-03-26,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
140,1264,4,2016-03-23,2016-03-26,2016-03-26,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
141,557,4,2016-03-25,2016-03-27,2016-03-26,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
142,170,4,2016-03-26,2016-03-27,2016-03-27,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
143,693,4,2016-03-26,2016-03-28,2016-03-28,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
144,1124,4,2016-03-26,2016-03-29,2016-03-29,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
145,366,4,2016-03-27,2016-03-29,2016-03-30,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
146,288,4,2016-03-28,2016-03-30,2016-03-30,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
147,55,4,2016-03-28,2016-03-31,2016-03-31,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
148,714,4,2016-03-28,2016-03-30,2016-03-30,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
149,763,4,2016-03-28,2016-03-30,2016-03-29,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
150,332,4,2016-03-29,2016-03-31,2016-04-01,1,2,postgres db,2025-04-18 21:40:55,True,1.0,Late
151,926,4,2016-03-29,2016-04-01,2016-03-31,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
152,76,4,2016-03-29,2016-03-30,2016-03-30,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
153,498,4,2016-03-30,2016-04-02,2016-04-01,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
154,1286,4,2016-03-31,2016-04-01,2016-04-01,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
155,371,4,2016-04-02,2016-04-03,2016-04-04,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
156,357,4,2016-04-03,2016-04-06,2016-04-05,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
157,43,4,2016-04-03,2016-04-06,2016-04-06,3,8,postgres db,2025-04-18 21:40:55,False,0.0,On Time
158,117,3,2016-04-04,2016-04-04,,3,9,postgres db,2025-04-18 21:40:55,False,,Late
159,32,4,2016-04-04,2016-04-06,2016-04-06,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
160,205,4,2016-04-04,2016-04-06,2016-04-06,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
161,251,4,2016-04-04,2016-04-07,2016-04-05,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
162,31,4,2016-04-06,2016-04-08,2016-04-07,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
163,1325,4,2016-04-06,2016-04-07,2016-04-07,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
164,610,4,2016-04-07,2016-04-08,2016-04-09,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
165,574,4,2016-04-08,2016-04-10,2016-04-10,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
166,338,4,2016-04-08,2016-04-11,2016-04-11,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
167,1034,4,2016-04-08,2016-04-09,2016-04-11,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
168,1147,4,2016-04-09,2016-04-12,2016-04-11,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
169,99,4,2016-04-10,2016-04-11,2016-04-11,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
170,1200,4,2016-04-10,2016-04-11,2016-04-13,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
171,237,4,2016-04-11,2016-04-14,2016-04-14,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
172,1079,4,2016-04-11,2016-04-12,2016-04-14,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
173,117,4,2016-04-11,2016-04-14,2016-04-13,3,8,postgres db,2025-04-18 21:40:55,False,0.0,Early
174,1361,4,2016-04-12,2016-04-13,2016-04-15,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
175,951,4,2016-04-13,2016-04-14,2016-04-14,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
176,643,4,2016-04-15,2016-04-16,2016-04-17,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
177,121,4,2016-04-16,2016-04-19,2016-04-19,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
178,756,4,2016-04-16,2016-04-17,2016-04-18,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
179,616,4,2016-04-17,2016-04-19,2016-04-19,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
180,918,4,2016-04-17,2016-04-20,2016-04-19,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
181,459,4,2016-04-18,2016-04-20,2016-04-20,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
182,854,4,2016-04-18,2016-04-19,2016-04-20,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
183,22,4,2016-04-19,2016-04-20,2016-04-20,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
184,134,4,2016-04-19,2016-04-21,2016-04-22,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
185,24,3,2016-04-20,2016-04-20,,1,2,postgres db,2025-04-18 21:40:55,False,,Late
186,1127,4,2016-04-21,2016-04-22,2016-04-24,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
187,183,4,2016-04-22,2016-04-23,2016-04-24,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
188,390,4,2016-04-22,2016-04-23,2016-04-25,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
189,1288,4,2016-04-23,2016-04-24,2016-04-26,1,2,postgres db,2025-04-18 21:40:55,True,2.0,Late
190,98,4,2016-04-23,2016-04-25,2016-04-25,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
191,919,4,2016-04-27,2016-04-28,2016-04-28,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
192,728,4,2016-04-27,2016-04-28,2016-04-29,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
193,1366,4,2016-04-28,2016-04-30,2016-04-30,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
194,558,4,2016-04-28,2016-04-30,2016-05-01,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
195,727,4,2016-04-28,2016-05-01,2016-05-01,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
196,1247,4,2016-04-28,2016-04-30,2016-05-01,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
197,127,4,2016-04-30,2016-05-03,2016-05-03,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
198,640,4,2016-05-01,2016-05-04,2016-05-03,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
199,760,4,2016-05-01,2016-05-04,2016-05-04,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
200,1074,4,2016-05-01,2016-05-03,2016-05-03,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
201,280,4,2016-05-01,2016-05-04,2016-05-02,3,9,postgres db,2025-04-18 21:40:55,False,0.0,Early
202,600,4,2016-05-03,2016-05-05,2016-05-04,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
203,1102,4,2016-05-03,2016-05-05,2016-05-06,3,9,postgres db,2025-04-18 21:40:55,True,1.0,Late
204,591,4,2016-05-04,2016-05-07,2016-05-06,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
205,635,4,2016-05-04,2016-05-05,2016-05-06,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
206,743,4,2016-05-04,2016-05-06,2016-05-05,3,9,postgres db,2025-04-18 21:40:55,False,0.0,Early
207,105,4,2016-05-05,2016-05-07,2016-05-07,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
208,815,4,2016-05-06,2016-05-07,2016-05-09,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
209,514,4,2016-05-07,2016-05-08,2016-05-08,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
210,943,4,2016-05-07,2016-05-08,2016-05-09,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
211,1140,4,2016-05-07,2016-05-09,2016-05-08,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
212,1373,4,2016-05-08,2016-05-09,2016-05-11,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
213,788,4,2016-05-08,2016-05-09,2016-05-09,3,8,postgres db,2025-04-18 21:40:55,False,0.0,On Time
214,363,4,2016-05-10,2016-05-12,2016-05-11,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
215,1420,4,2016-05-10,2016-05-13,2016-05-12,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
216,267,4,2016-05-11,2016-05-14,2016-05-13,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
217,716,4,2016-05-11,2016-05-12,2016-05-14,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
218,1179,4,2016-05-12,2016-05-14,2016-05-14,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
219,1338,4,2016-05-12,2016-05-15,2016-05-15,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
220,1358,4,2016-05-12,2016-05-14,2016-05-15,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
221,1218,4,2016-05-13,2016-05-16,2016-05-14,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
222,51,4,2016-05-13,2016-05-16,2016-05-14,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
223,1368,4,2016-05-15,2016-05-16,2016-05-17,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
224,157,4,2016-05-17,2016-05-18,2016-05-19,1,3,postgres db,2025-04-18 21:40:55,True,1.0,Late
225,307,4,2016-05-17,2016-05-20,2016-05-19,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
1512,68,1,2018-04-09,2018-04-09,,3,9,postgres db,2025-04-18 21:40:55,False,,Late
226,501,4,2016-05-17,2016-05-19,2016-05-20,1,2,postgres db,2025-04-18 21:40:55,True,1.0,Late
227,489,4,2016-05-17,2016-05-18,2016-05-20,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
228,615,4,2016-05-17,2016-05-20,2016-05-20,2,7,postgres db,2025-04-18 21:40:55,False,0.0,On Time
229,742,4,2016-05-19,2016-05-21,2016-05-20,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
230,1167,4,2016-05-19,2016-05-20,2016-05-21,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
231,1257,4,2016-05-19,2016-05-22,2016-05-21,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
232,1360,4,2016-05-20,2016-05-23,2016-05-23,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
233,737,4,2016-05-21,2016-05-22,2016-05-24,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
234,1435,4,2016-05-22,2016-05-24,2016-05-24,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
235,649,4,2016-05-24,2016-05-25,2016-05-25,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
236,206,4,2016-05-25,2016-05-27,2016-05-26,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
237,1351,4,2016-05-25,2016-05-26,2016-05-27,2,7,postgres db,2025-04-18 21:40:55,True,1.0,Late
238,1350,4,2016-05-26,2016-05-29,2016-05-29,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
239,13,3,2016-05-27,2016-05-27,,3,9,postgres db,2025-04-18 21:40:55,False,,Late
