currency,rate,source,extraction_date
JOD,0.7094,data lake,2025-04-18 21:40:55
JPY,142.3929,data lake,2025-04-18 21:40:55
KES,129.66,data lake,2025-04-18 21:40:55
KGS,87.45,data lake,2025-04-18 21:40:55
KHR,4003.116209,data lake,2025-04-18 21:40:55
KMF,439.500077,data lake,2025-04-18 21:40:55
KPW,900.0,data lake,2025-04-18 21:40:55
KRW,1418.39,data lake,2025-04-18 21:40:55
KWD,0.3066,data lake,2025-04-18 21:40:55
KYD,0.832893,data lake,2025-04-18 21:40:55
KZT,523.173589,data lake,2025-04-18 21:40:55
LAK,21643.53649,data lake,2025-04-18 21:40:55
LBP,89557.667135,data lake,2025-04-18 21:40:55
LKR,298.278414,data lake,2025-04-18 21:40:55
LRD,199.87859,data lake,2025-04-18 21:40:55
LSL,18.856894,data lake,2025-04-18 21:40:55
LYD,5.471389,data lake,2025-04-18 21:40:55
MAD,9.269602,data lake,2025-04-18 21:40:55
MDL,17.289555,data lake,2025-04-18 21:40:55
MGA,4552.903502,data lake,2025-04-18 21:40:55
MKD,54.160027,data lake,2025-04-18 21:40:55
MMK,2098.0,data lake,2025-04-18 21:40:55
MNT,3398.0,data lake,2025-04-18 21:40:55
MOP,7.990393,data lake,2025-04-18 21:40:55
MRU,39.43553,data lake,2025-04-18 21:40:55
MUR,45.09,data lake,2025-04-18 21:40:55
MVR,15.4343,data lake,2025-04-18 21:40:55
MWK,1733.033676,data lake,2025-04-18 21:40:55
MXN,19.719356,data lake,2025-04-18 21:40:55
MYR,4.4075,data lake,2025-04-18 21:40:55
MZN,63.830001,data lake,2025-04-18 21:40:55
NAD,18.856894,data lake,2025-04-18 21:40:55
NGN,1603.18,data lake,2025-04-18 21:40:55
NIO,36.775057,data lake,2025-04-18 21:40:55
NOK,10.472502,data lake,2025-04-18 21:40:55
NPR,136.503204,data lake,2025-04-18 21:40:55
NZD,1.674018,data lake,2025-04-18 21:40:55
OMR,0.385042,data lake,2025-04-18 21:40:55
PAB,1.0,data lake,2025-04-18 21:40:55
PEN,3.724398,data lake,2025-04-18 21:40:55
PGK,4.133235,data lake,2025-04-18 21:40:55
PHP,56.6945,data lake,2025-04-18 21:40:55
PKR,280.392743,data lake,2025-04-18 21:40:55
PLN,3.762232,data lake,2025-04-18 21:40:55
PYG,7999.962711,data lake,2025-04-18 21:40:55
QAR,3.642666,data lake,2025-04-18 21:40:55
RON,4.3777,data lake,2025-04-18 21:40:55
RSD,103.28,data lake,2025-04-18 21:40:55
RUB,82.174304,data lake,2025-04-18 21:40:55
RWF,1430.18233,data lake,2025-04-18 21:40:55
SAR,3.752008,data lake,2025-04-18 21:40:55
SBD,8.36834,data lake,2025-04-18 21:40:55
SCR,14.257799,data lake,2025-04-18 21:40:55
SDG,600.5,data lake,2025-04-18 21:40:55
SEK,9.620479,data lake,2025-04-18 21:40:55
SGD,1.310754,data lake,2025-04-18 21:40:55
SHP,0.753843,data lake,2025-04-18 21:40:55
SLL,20969.5,data lake,2025-04-18 21:40:55
SOS,571.156858,data lake,2025-04-18 21:40:55
SRD,36.6465,data lake,2025-04-18 21:40:55
SSP,130.26,data lake,2025-04-18 21:40:55
STD,22281.8,data lake,2025-04-18 21:40:55
STN,21.554758,data lake,2025-04-18 21:40:55
SVC,8.745073,data lake,2025-04-18 21:40:55
SYP,13002.0,data lake,2025-04-18 21:40:55
SZL,18.850295,data lake,2025-04-18 21:40:55
THB,33.347,data lake,2025-04-18 21:40:55
TJS,10.849755,data lake,2025-04-18 21:40:55
TMT,3.51,data lake,2025-04-18 21:40:55
TND,2.988722,data lake,2025-04-18 21:40:55
TOP,2.40776,data lake,2025-04-18 21:40:55
TRY,38.020141,data lake,2025-04-18 21:40:55
TTD,6.781391,data lake,2025-04-18 21:40:55
TWD,32.523,data lake,2025-04-18 21:40:55
TZS,2687.5,data lake,2025-04-18 21:40:55
UAH,41.29068,data lake,2025-04-18 21:40:55
UGX,3663.561804,data lake,2025-04-18 21:40:55
USD,1.0,data lake,2025-04-18 21:40:55
UYU,42.348428,data lake,2025-04-18 21:40:55
UZS,12986.383191,data lake,2025-04-18 21:40:55
VES,71.678835,data lake,2025-04-18 21:40:55
VND,25886.623558,data lake,2025-04-18 21:40:55
VUV,118.722,data lake,2025-04-18 21:40:55
WST,2.8,data lake,2025-04-18 21:40:55
XAF,576.796635,data lake,2025-04-18 21:40:55
XAG,0.03075584,data lake,2025-04-18 21:40:55
XAU,0.00030126,data lake,2025-04-18 21:40:55
XCD,2.70255,data lake,2025-04-18 21:40:55
XDR,0.718102,data lake,2025-04-18 21:40:55
XOF,576.796635,data lake,2025-04-18 21:40:55
XPD,0.00104348,data lake,2025-04-18 21:40:55
XPF,104.930883,data lake,2025-04-18 21:40:55
XPT,0.00104107,data lake,2025-04-18 21:40:55
YER,245.720656,data lake,2025-04-18 21:40:55
ZAR,18.821113,data lake,2025-04-18 21:40:55
ZMW,28.458439,data lake,2025-04-18 21:40:55
ZWL,322.0,data lake,2025-04-18 21:40:55
